Date,Market Cap,% Change
2021-12-06,255671500000,1.17%
2021-12-03,252721300000,-0.38%
2021-12-02,253690800000,2.73%
2021-12-01,246945500000,0.25%
2021-11-30,246336100000,0.21%
2021-11-29,245809700000,-1.31%
2021-11-26,249078500000,-2.69%
2021-11-24,255976200000,-0.14%
2021-11-23,256322500000,-0.02%
2021-11-22,256364000000,-0.47%
2021-11-19,257569000000,0.71%
2021-11-18,255754600000,-0.84%
2021-11-17,257915300000,-0.65%
2021-11-16,259605100000,1.65%
2021-11-15,255394500000,-0.01%
2021-11-12,255408300000,3.00%
2021-11-11,247970500000,0.94%
2021-11-10,245657400000,0.59%
2021-11-09,244216900000,-2.30%
2021-11-08,249978800000,0.67%
2021-11-05,248316700000,-1.21%
2021-11-04,251363900000,-0.62%
2021-11-03,252932100000,0.81%
2021-11-02,250892600000,-0.21%
2021-11-01,251409500000,1.93%
2021-10-29,246646100000,0.05%
2021-10-28,246520400000,1.37%
2021-10-27,243181900000,0.51%
2021-10-26,241938700000,0.56%
2021-10-25,240583700000,-0.67%
2021-10-22,242218000000,-0.36%
2021-10-21,243084100000,-2.10%
2021-10-20,248294400000,-0.51%
2021-10-19,249579600000,0.07%
2021-10-18,249411900000,1.29%
2021-10-15,246227100000,0.43%
2021-10-14,245165400000,-0.15%
2021-10-13,245528600000,-0.77%
2021-10-12,247428400000,1.13%
2021-10-11,244662600000,1.85%
2021-10-08,240220500000,1.48%
2021-10-07,236728300000,1.50%
2021-10-06,233236100000,-3.00%
2021-10-05,240458000000,0.19%
2021-10-04,239997000000,-3.27%
2021-10-01,248112800000,-0.07%
2021-09-30,248294400000,-4.15%
2021-09-29,259050400000,0.32%
2021-09-28,258212200000,-0.90%
2021-09-27,260545000000,2.16%
2021-09-24,255027400000,-0.12%
2021-09-23,255334700000,0.66%
2021-09-22,253658400000,-0.17%
2021-09-21,254091500000,2.94%
2021-09-20,246841700000,-2.34%
2021-09-17,252764400000,-0.54%
2021-09-16,254147300000,0.13%
2021-09-15,253826100000,1.29%
2021-09-14,250585300000,0.52%
2021-09-13,249286200000,1.23%
2021-09-10,246269000000,-2.09%
2021-09-09,251535200000,0.04%
2021-09-08,251437400000,-0.90%
2021-09-07,253728300000,1.32%
2021-09-03,250417700000,1.72%
2021-09-02,246185200000,0.02%
2021-09-01,246143200000,1.14%
2021-08-31,243377400000,0.79%
2021-08-30,241463700000,-0.59%
2021-08-27,242888500000,1.33%
2021-08-26,239689700000,-1.24%
2021-08-25,242706900000,1.60%
2021-08-24,238893500000,1.35%
2021-08-23,235708600000,2.48%
2021-08-20,230009300000,-2.31%
2021-08-19,235443200000,-4.09%
2021-08-18,245472700000,-1.37%
2021-08-17,248881100000,-1.35%
2021-08-16,252275500000,-0.41%
2021-08-13,253309200000,0.22%
2021-08-12,252750500000,-0.24%
2021-08-11,253365100000,0.82%
2021-08-10,251297700000,-0.37%
2021-08-09,252233600000,-0.08%
2021-08-06,252443100000,-1.17%
2021-08-05,255432500000,0.37%
2021-08-04,254482600000,-2.89%
2021-08-03,262065100000,2.24%
2021-08-02,256329100000,1.13%
2021-07-30,253454100000,-0.87%
2021-07-29,255680800000,0.86%
2021-07-28,253496300000,0.80%
2021-07-27,251481000000,-0.59%
2021-07-26,252974900000,-0.19%
2021-07-23,253468100000,1.04%
2021-07-22,250846800000,-0.94%
2021-07-21,253228600000,0.88%
2021-07-20,251030000000,1.03%
2021-07-19,248465000000,-1.03%
2021-07-16,251044100000,-0.45%
2021-07-15,252171600000,-0.59%
2021-07-14,253679500000,0.46%
2021-07-13,252523900000,0.16%
2021-07-12,252129300000,0.62%
2021-07-09,250564900000,2.04%
2021-07-08,245547700000,-0.81%
2021-07-07,247549000000,0.41%
2021-07-06,246534200000,-0.62%
2021-07-02,248084500000,0.31%
2021-07-01,247309400000,0.37%
2021-06-30,246407400000,-1.07%
2021-06-29,249071000000,-0.19%
2021-06-28,249550200000,-0.58%
2021-06-25,251001800000,0.24%
2021-06-24,250395800000,0.79%
2021-06-23,248434000000,-0.94%
2021-06-22,250782600000,0.29%
2021-06-21,250069600000,1.05%
2021-06-18,247483400000,-4.41%
2021-06-17,258904800000,0.74%
2021-06-16,257003600000,0.76%
2021-06-15,255060400000,1.03%
2021-06-14,252460200000,-0.48%
2021-06-11,253690400000,0.72%
2021-06-10,251887000000,-0.20%
2021-06-09,252390300000,0.52%
2021-06-08,251090200000,-0.66%
2021-06-07,252753800000,-0.88%
2021-06-04,255004500000,1.53%
2021-06-03,251174000000,1.72%
2021-06-02,246924200000,2.49%
2021-06-01,240926900000,3.83%
2021-05-28,232035800000,0.26%
2021-05-27,231434700000,0.93%
2021-05-26,229295700000,1.10%
2021-05-25,226807400000,-0.33%
2021-05-24,227562300000,1.01%
2021-05-21,225297500000,0.59%
2021-05-20,223983400000,0.58%
2021-05-19,222683300000,-0.85%
2021-05-18,224598600000,1.25%
2021-05-17,221830600000,1.82%
2021-05-14,217874300000,0.40%
2021-05-13,217007600000,1.11%
2021-05-12,214617000000,0.84%
2021-05-11,212828100000,-1.82%
2021-05-10,216770400000,0.92%
2021-05-07,214799300000,0.45%
2021-05-06,213834700000,1.02%
2021-05-05,211681800000,0.55%
2021-05-04,210521500000,-1.08%
2021-05-03,212814100000,0.97%
2021-04-30,210773100000,-1.09%
2021-04-29,213093700000,-0.54%
2021-04-28,214254100000,0.29%
2021-04-27,213625000000,-0.48%
2021-04-26,214645500000,-0.94%
2021-04-23,216672600000,0.14%
2021-04-22,216379000000,-0.23%
2021-04-21,216882300000,0.67%
2021-04-20,215428400000,-1.48%
2021-04-19,218657700000,-0.74%
2021-04-16,220279300000,0.17%
2021-04-15,219915900000,0.70%
2021-04-14,218392100000,0.29%
2021-04-13,217763000000,1.09%
2021-04-12,215414400000,-0.12%
2021-04-09,215680000000,0.59%
2021-04-08,214421800000,-0.85%
2021-04-07,216267100000,0.68%
2021-04-06,214799300000,-1.11%
2021-04-05,217217800000,0.79%
2021-04-01,215512200000,-1.22%
2021-03-31,218168400000,1.42%
2021-03-30,215106800000,-0.66%
2021-03-29,216546700000,1.00%
2021-03-26,214407800000,1.52%
2021-03-25,211192500000,0.27%
2021-03-24,210633300000,-0.44%
2021-03-23,211569900000,-2.03%
2021-03-22,215959600000,-2.59%
2021-03-19,221691300000,0.55%
2021-03-18,220475100000,2.65%
2021-03-17,214785300000,1.01%
2021-03-16,212632400000,-0.52%
2021-03-15,213750800000,1.57%
2021-03-12,210437600000,0.11%
2021-03-11,210199900000,-1.00%
2021-03-10,212324900000,0.22%
2021-03-09,211849500000,2.23%
2021-03-08,207222200000,-0.20%
2021-03-05,207627600000,1.14%
2021-03-04,205293000000,-1.33%
2021-03-03,208061000000,-0.25%
2021-03-02,208592200000,-0.09%
2021-03-01,208774000000,0.95%
2021-02-26,206802800000,-0.89%
2021-02-25,208662100000,-2.09%
2021-02-24,213121700000,-0.18%
2021-02-23,213513100000,0.19%
2021-02-22,213107700000,-0.72%
2021-02-19,214659500000,0.07%
2021-02-18,214519700000,-1.97%
2021-02-17,218825400000,0.03%
2021-02-16,218755500000,-2.50%
2021-02-12,224361400000,0.98%
2021-02-11,222194600000,-1.62%
2021-02-10,225857300000,4.96%
2021-02-09,215186100000,0.70%
2021-02-08,213691000000,1.37%
2021-02-05,210798600000,1.92%
2021-02-04,206830200000,-0.03%
2021-02-03,206900100000,3.46%
2021-02-02,199983400000,1.93%
2021-02-01,196196600000,-0.08%
2021-01-29,196350300000,-1.94%
2021-01-28,200234900000,0.46%
2021-01-27,199312600000,-2.29%
2021-01-26,203979700000,-0.50%
2021-01-25,205013700000,-0.83%
2021-01-22,206732400000,-2.24%
2021-01-21,211469300000,0.91%
2021-01-20,209568900000,1.25%
2021-01-19,206983900000,-0.19%
2021-01-15,207375100000,-1.94%
2021-01-14,211469300000,0.46%
2021-01-13,210505100000,-0.72%
2021-01-12,212042200000,-1.07%
2021-01-11,214333800000,0.35%
2021-01-08,213579200000,0.12%
2021-01-07,213327700000,-0.56%
2021-01-06,214529400000,0.08%
2021-01-05,214347700000,0.07%
2021-01-04,214194000000,-0.83%
2020-12-31,215982600000,0.31%
2020-12-30,215311900000,0.49%
2020-12-29,214263900000,0.48%
2020-12-28,213229900000,1.42%
2020-12-24,210253600000,-0.46%
2020-12-23,211217700000,0.26%
2020-12-22,210672800000,-0.66%
2020-12-21,212070100000,-1.30%
2020-12-18,214864700000,-0.56%
2020-12-17,216080400000,-0.29%
2020-12-16,216709200000,1.47%
2020-12-15,213579200000,-0.48%
2020-12-14,214599200000,1.71%
2020-12-11,210994200000,5.54%
2020-12-10,199913500000,1.55%
2020-12-09,196853400000,1.54%
2020-12-08,193863100000,0.43%
2020-12-07,193038700000,-0.09%
2020-12-04,193220400000,1.04%
2020-12-03,191222200000,0.37%
2020-12-02,190509600000,0.15%
2020-12-01,190230100000,1.25%
2020-11-30,187882600000,-4.07%
2020-11-27,195847300000,-0.81%
2020-11-25,197454200000,-1.76%
2020-11-24,200989400000,0.40%
2020-11-23,200179000000,0.80%
2020-11-20,198600000000,0.86%
2020-11-19,196909300000,-0.64%
2020-11-18,198180800000,-0.64%
