Date,Open,Close,High,Low,Volume,MA1,MA2
2020-08-12,136.8700,136.4400,136.9100,136.1600,251642,127.0930,131.2780
2020-08-13,136.2500,135.6400,136.3400,135.2800,158222,127.2310,131.2640
2020-08-14,133.6700,134.2200,134.4900,133.6000,110689,127.3520,131.2420
2020-08-17,134.9500,135.5300,135.5600,134.5700,158770,127.4410,131.2250
2020-08-18,136.2200,136.0800,136.5800,135.8700,121198,127.5210,131.2120
2020-08-19,136.2300,135.2100,136.5000,135.1400,111909,127.6140,131.1890
2020-08-20,133.7300,134.0900,134.2500,133.6000,117993,127.6750,131.1570
2020-08-21,133.2200,133.8300,133.9100,133.1100,122586,127.8630,131.1220
2020-08-24,134.6500,134.7600,135.4500,134.3700,154467,128.0020,131.0940
2020-08-25,135.0000,134.7900,135.1950,134.1350,126825,128.1500,131.0540
2020-08-26,134.4000,134.8900,135.0700,133.9900,138281,128.2550,131.0060
2020-08-27,134.1700,133.5600,134.2300,133.1700,165049,128.3490,130.9490
2020-08-28,134.0300,133.9200,134.2900,133.5700,100677,128.4450,130.8960
2020-08-31,133.1200,132.4300,133.1200,131.7800,183265,128.5380,130.8350
2020-09-01,131.8000,132.3000,132.4600,131.0900,143936,128.6210,130.7770
2020-09-02,131.6900,132.5200,132.6200,131.5700,123127,128.6900,130.7190
2020-09-03,131.6200,129.9500,131.9500,129.5900,173427,128.7330,130.6500
2020-09-04,133.0000,133.1700,133.7500,130.9300,203149,128.8410,130.6020
2020-09-08,131.0000,131.2300,132.1000,130.6000,227317,128.9420,130.5510
2020-09-09,130.3200,131.1300,131.4700,130.3200,179901,129.0270,130.4960
2020-09-10,130.4550,130.1800,131.3500,130.0500,133717,129.1180,130.4340
2020-09-11,131.1300,131.3400,131.6000,130.5400,155764,129.2620,130.3780
2020-09-14,133.9000,133.7700,134.3550,133.4340,193078,129.4100,130.3370
2020-09-15,134.4800,134.0300,134.7800,133.9100,100887,129.5510,130.2990
2020-09-16,134.5500,134.0300,134.7600,134.0100,125769,129.7320,130.2680
2020-09-17,133.8000,135.0000,135.4200,133.5600,132424,129.9240,130.2420
2020-09-18,134.4800,134.2500,135.3050,134.2500,128012,130.1320,130.2100
