Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
Other Long-Term Liabilities,8890000000,8134000000,6595000000,6136000000,6024000000,5598000000,4851000000,4654000000,4577000000,4563000000,4234000000,4024000000,3806000000,3898000000,3854000000,3898962000,3843868000,4030000000,3961207000,3988135000,4136934000,5929921000,5875563000,5786453000,5473675000,4944878000,3363559000,2887960000,2464057000,2057537000,1605314000,1267974000,1093161000,876614000,715899000,612991000,502461000,475676000,266658000,183884000,40327000,38922000,30761000,27253000,27460000,26899000,26290000,24431000,23670000,21145000,15247000,23832000,15648000,6433000,,,,6884000
Total Liabilities,37598000000,36440000000,33302000000,30855000000,30632000000,30548000000,29340000000,28896000000,28507000000,28418000000,28143000000,26754000000,26518000000,26199000000,25313000000,24722136000,22874618000,23427000000,23409144000,22642887000,21551021000,23022980000,21929057000,19459902000,18885353000,16750167000,9900639000,9311512000,8178711000,6936950000,6186660000,5701978000,5239756000,4860761000,4417278000,4036047000,3518412000,1749810000,1524546000,1258418000,975195000,989490000,837052000,714654000,607226000,489403000,406132000,297703000,239551000,179034000,141698000,138524000,105392000,64722000,,,,150235000
Total Debt,2676000000,3099000000,3553000000,4430000000,4812000000,6834000000,8154000000,9401000000,10872000000,11739000000,13733000000,14139000000,13943000000,13419000000,13343000000,13025486000,11493661000,11972000000,11779151000,11616575000,10761758000,10314938000,10008778000,7943627000,8169550000,7128431000,2715461000,3283974000,3162240000,2696305000,2679384000,2687891000,2584546000,2488080000,2468820000,2450618000,2200753000,606878000,676902000,593684000,455538000,466666000,474514000,438973000,365908000,280148000,226049000,134823000,103180000,72603000,57414000,46354000,30932000,1090000,,,,55757000
Debt Growth,-44.39%,-54.65%,-56.43%,-52.88%,-55.74%,-41.78%,-40.62%,-33.51%,-22.03%,-12.52%,2.92%,8.55%,21.31%,12.09%,13.28%,12.13%,6.80%,16.06%,17.69%,46.24%,31.73%,44.70%,268.58%,141.89%,158.35%,164.38%,1.35%,22.18%,22.35%,8.37%,8.53%,9.68%,17.44%,309.98%,264.72%,312.78%,383.11%,30.05%,42.65%,35.24%,24.50%,66.58%,109.92%,225.59%,254.63%,285.86%,293.72%,190.86%,233.57%,6560.83%,,,,-98.05%,,,,
Common Stock,32881000000,32180000000,31595000000,30945000000,30486000000,29806000000,28923000000,28206000000,27624000000,27261000000,21575000000,15895000000,15390000000,12737000000,12348000000,12052637000,10563920000,10249000000,9957882000,9656707000,9419066000,9178193000,8989190000,8774375000,8351675000,7773888000,5531078000,5383879000,3561390000,3409583000,3340567000,2502806000,2429803000,2345392000,2284135000,2203660000,2101476000,1806740000,1687520000,1714284000,1222940000,1190306000,947799000,927086000,913145000,893440000,882045000,871278000,631660000,622030000,583547000,18914000,10876000,7131000,,,,5200000
Retained Earnings,15398000000,12885000000,9198000000,5908000000,3649000000,329000000,-1990000000,-3608000000,-4750000000,-5399000000,-5669000000,-6000000000,-6104000000,-6083000000,-6188000000,-6331639000,-5923305000,-5318000000,-5457315000,-5768831000,-5051292000,-4974299000,-4298960000,-3679584000,-3343187000,-2997237000,-2875900000,-2897778000,-2604590000,-2322323000,-2001926000,-1772068000,-1587841000,-1433660000,-1326041000,-1251327000,-1189420000,-1139620000,-1123355000,-1084858000,-1054357000,-1065606000,-975674000,-864871000,-759265000,-669392000,-587903000,-522826000,-463922000,-414982000,-363624000,-328689000,-290173000,-260654000,,,,-204914000
Comprehensive Income,-225000000,-361000000,-942000000,-477000000,-50000000,54000000,120000000,206000000,143000000,363000000,125000000,-40000000,-113000000,-36000000,-120000000,-5605000,-35019000,-8000000,8271000,18545000,82921000,33348000,21250000,10961000,-20769000,-23740000,25310000,34193000,13565000,-3556000,-23985000,-14804000,-15965000,-22000,0,0,0,0,0,0,0,0,0,0,-6000,-3000,-24000,0,0,0,0,0,0,0,,,,0
Shareholders' Equity,48054000000,44704000000,39851000000,36376000000,34085000000,30189000000,27053000000,24804000000,23017000000,22225000000,16031000000,9855000000,9173000000,6618000000,6040000000,5715393000,4605596000,4923000000,4508838000,3906421000,4450695000,4237242000,4711480000,5105752000,4987719000,4752911000,2680488000,2520294000,970365000,1083704000,1314656000,715934000,825997000,911710000,958094000,952333000,912056000,667120000,564165000,629426000,168583000,124700000,-27875000,62215000,153874000,224045000,294118000,348452000,167738000,207048000,219923000,-309775000,-279297000,-253523000,,,,-199714000
Net Cash / Debt,19726000000,19086000000,17554000000,14485000000,13201000000,10873000000,7941000000,6828000000,6269000000,7645000000,798000000,-5524000000,-5863000000,-7151000000,-7772000000,-7942740000,-9164542000,-8093000000,-8653020000,-9233329000,-7975891000,-6791701000,-6340567000,-4789334000,-4074011000,-3629696000,483501000,58473000,-1648688000,-1476769000,-1201770000,-1496853000,-1039931000,-553046000,-71664000,243253000,390417000,248458000,127589000,160794000,-219358000,-240523000,-361272000,-202486000,-79325000,31723000,113398000,201241000,45352000,105419000,184771000,6311000,38101000,72117000,0,0,0,-45260000
Net Cash / Debt Growth,49.43%,75.54%,121.06%,112.14%,110.58%,42.22%,895.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.28%,,,,,,,,,,-69.91%,-38.63%,3088.73%,19.03%,46.18%,,,,,,,,
Net Cash Per Share,6.23,6.04,5.58,4.66,4.25,3.57,2.65,2.34,2.17,2.68,0.28,-1.98,-2.14,-2.64,-2.89,-2.99,-3.53,-3.13,-3.37,-3.62,-3.14,-2.67,-2.53,-1.93,-1.68,-1.56,0.22,0.03,-0.83,-0.75,-0.62,-0.79,-0.55,-0.29,-0.04,0.13,0.21,0.13,0.07,0.09,-0.12,-0.14,-0.23,-0.13,-0.05,0.02,0.07,0.14,0.03,0.14,0.13,0.06,0.35,0.67,,,,
Working Capital,15561000000,14208000000,11379000000,9401000000,7595000000,7395000000,6951000000,8322000000,9828000000,12469000000,8442000000,3066000000,2907000000,1436000000,794000000,593179000,-1564978000,-1686000000,-1854833000,-2441565000,-2266439000,-1104150000,599793000,-186911000,782450000,432791000,1090022000,1437301000,51844000,-29029000,445024000,244233000,729036000,1072907000,1523137000,1865844000,1742577000,590779000,49307000,642997000,-9630000,-14340000,-101265000,30600000,123175000,181499000,257940000,279022000,113930000,150321000,171805000,21400000,41497000,43070000,,,,-56508000
Book Value Per Share,15.18,14.15,12.67,11.69,10.99,9.92,9.04,8.52,7.98,7.80,5.70,3.54,3.34,2.45,2.25,2.15,1.78,1.90,1.76,1.53,1.75,1.67,1.88,2.06,2.05,2.04,1.20,1.20,0.49,0.55,0.68,0.38,0.44,0.48,0.51,0.51,0.49,0.36,0.31,0.36,0.10,0.07,-0.02,0.04,0.10,0.14,0.19,0.24,0.12,0.27,0.16,-2.70,-2.55,-2.37,,,,-2.00
